"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-01",,,,,"0.20",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-02",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-03",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-04",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-05",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-06",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-07",,,,,"0.00","T,,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-08",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-09",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-10",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-11",,,,,"0.05",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-12",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-13",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-14",,,,,"0.23",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-15",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-16",,,,,"0.03",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-17",,,,,"0.01",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-18",,,,,"0.02",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-19",,,,,"0.01",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-20",,,,,"0.86",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-21",,,,,"0.01",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-22",,,,,"0.98",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-23",,,,,"0.02",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-24",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-25",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-26",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-27",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-28",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-29",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-30",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-01-31",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-01",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-02",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-03",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-04",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-05",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-06",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-07",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-08",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-09",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-10",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-11",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-12",,,,,"0.01",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-13",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-14",,,,,"0.14",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-15",,,,,"0.02",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-16",,,,,"0.13",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-17",,,,,"0.32",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-18",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-19",,,,,"0.11",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-20",,,,,"0.09",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-21",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-22",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-23",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-24",,,,,"0.05",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-25",,,,,"0.29",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-26",,,,,"0.09",",,N",,
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-27",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-02-28",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-03-01",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-03-02",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-03-03",,,,,"0.00",",,N","0.0",",,N"
"US1FLFL0030","PALM COAST 4.2 SSW, FL US","29.51611","-81.24503","13.7","2025-03-04",,,,,"0.00",",,N","0.0",",,N"
